               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11604,            0.028713,            0.046275,            0.019267,            0.016244,           0.0015787,          0.00020292,            0.096281,            0.023566,            0.040326,             0.00021,             0.00021,             0.09811
                   1,            0.090267,             0.03193,            0.034239,             0.60274,             0.15134,            0.089249,            0.027239,            0.072586,            0.024934,            0.029867,           0.0004299,           0.0004299,             0.09613
                   2,            0.068552,            0.033892,            0.028231,             0.88023,             0.14815,             0.16154,             0.03422,            0.058446,            0.023208,            0.024967,          0.00064942,          0.00064942,            0.094149
                   3,            0.059814,            0.030692,            0.024258,             0.26041,             0.33493,             0.25536,            0.086915,            0.056199,            0.019145,            0.020494,          0.00086826,          0.00086826,            0.092168
                   4,            0.058616,              0.0235,            0.019634,             0.31959,             0.55469,             0.34923,             0.10283,            0.057115,            0.016263,            0.015733,           0.0010861,           0.0010861,            0.090186
                   5,            0.057825,            0.022022,            0.016513,             0.56141,             0.57108,             0.51477,             0.21337,            0.057329,            0.014309,            0.012212,           0.0013027,           0.0013027,            0.088203
                   6,            0.056064,            0.019475,            0.012943,             0.48849,             0.73823,             0.61678,             0.27878,            0.045911,            0.012811,           0.0096259,           0.0015178,           0.0015178,            0.086218
                   7,            0.055463,            0.018199,             0.01104,             0.62902,             0.71148,             0.69656,             0.30956,            0.046888,            0.011632,           0.0071564,            0.001731,            0.001731,            0.084231
                   8,            0.053225,            0.016932,           0.0085463,             0.59113,             0.70146,             0.70574,             0.29652,            0.043704,            0.010259,            0.005451,           0.0019421,           0.0019421,            0.082242
                   9,            0.050905,            0.016087,           0.0072063,             0.68629,             0.74978,             0.74013,             0.31518,              0.0397,            0.010245,           0.0047812,           0.0021509,           0.0021509,            0.080251
                  10,            0.049106,            0.014628,           0.0063278,              0.8158,             0.73251,             0.81975,             0.37768,            0.041609,           0.0088605,           0.0039473,           0.0023569,           0.0023569,            0.078257
                  11,            0.047377,            0.013784,           0.0054505,             0.51944,             0.81423,             0.73201,             0.29873,            0.046001,           0.0083841,           0.0035962,             0.00256,             0.00256,             0.07626
                  12,            0.044974,            0.013319,           0.0050199,             0.68408,             0.85579,             0.82565,             0.37609,            0.042495,           0.0079715,           0.0030697,           0.0027599,           0.0027599,             0.07426
                  13,            0.044227,            0.012354,           0.0045109,             0.79468,             0.80137,             0.86572,             0.43777,            0.036499,           0.0075513,           0.0030144,           0.0029564,           0.0029564,            0.072256
                  14,            0.043114,            0.012671,           0.0045163,             0.73053,             0.89706,             0.78615,             0.41724,            0.037938,           0.0074378,           0.0030152,           0.0031491,           0.0031491,            0.070249
                  15,            0.042452,            0.012298,           0.0041892,             0.71682,             0.87986,              0.7974,             0.40401,            0.037873,           0.0072277,           0.0027887,           0.0033378,           0.0033378,            0.068238
                  16,             0.04069,            0.011893,           0.0041069,             0.76618,             0.90101,             0.87089,             0.39003,            0.033431,           0.0070234,           0.0024541,           0.0035224,           0.0035224,            0.066222
                  17,            0.038429,            0.011604,           0.0037435,             0.92144,             0.86724,             0.93694,             0.49211,            0.032969,           0.0068838,           0.0023787,           0.0037025,           0.0037025,            0.064202
                  18,            0.038424,            0.011235,           0.0037623,             0.81768,             0.90406,             0.89919,             0.57399,            0.029121,           0.0067667,           0.0024202,           0.0038779,           0.0038779,            0.062178
                  19,            0.036253,            0.010914,           0.0034623,             0.88313,             0.87088,             0.91542,             0.54563,            0.028045,           0.0062962,           0.0024822,           0.0040484,           0.0040484,            0.060148
                  20,             0.03537,            0.010516,           0.0033409,             0.78288,             0.90971,             0.89389,             0.50996,            0.030558,           0.0062669,            0.002431,           0.0042138,           0.0042138,            0.058114
                  21,            0.035648,            0.010495,           0.0032888,             0.92898,             0.90972,             0.94405,             0.60563,            0.026212,           0.0066072,            0.002447,           0.0043739,           0.0043739,            0.056074
                  22,            0.038812,            0.010366,           0.0034312,             0.58528,             0.88359,             0.74923,             0.34799,            0.041729,           0.0069596,           0.0028842,           0.0045285,           0.0045285,            0.054028
                  23,            0.045023,            0.011301,             0.00411,             0.65169,             0.84838,             0.82296,             0.38877,            0.037062,           0.0065212,           0.0026692,           0.0046774,           0.0046774,            0.051977
                  24,            0.043586,             0.01107,           0.0036751,             0.75838,             0.91232,             0.86307,              0.4559,            0.033248,           0.0064274,           0.0026699,           0.0048204,           0.0048204,             0.04992
                  25,            0.039726,            0.010324,           0.0036965,             0.74871,             0.84263,             0.84383,             0.43578,            0.035427,           0.0062745,           0.0025795,           0.0049574,           0.0049574,            0.047857
                  26,            0.041954,            0.010599,           0.0039525,             0.83522,             0.90949,             0.91409,             0.51649,            0.030237,           0.0059955,           0.0023432,           0.0050882,           0.0050882,            0.045788
                  27,            0.039894,            0.010617,           0.0032928,             0.80335,              0.8834,              0.8913,             0.49274,            0.029558,           0.0059116,           0.0023881,           0.0052127,           0.0052127,            0.043713
                  28,            0.037775,            0.010112,           0.0033705,             0.92866,             0.91383,             0.94338,             0.61374,            0.025956,            0.006143,           0.0025208,           0.0053307,           0.0053307,            0.041631
                  29,            0.037022,           0.0096456,           0.0031627,             0.97528,             0.90356,             0.95065,             0.57335,            0.030208,           0.0059091,           0.0024514,           0.0054421,           0.0054421,            0.039542
                  30,            0.037362,           0.0095971,           0.0029715,              0.9648,             0.92414,             0.95085,             0.58433,            0.026488,           0.0058491,           0.0024624,           0.0055468,           0.0055468,            0.037447
                  31,            0.033886,           0.0096285,           0.0028074,             0.94473,             0.89964,              0.9488,              0.6076,            0.025136,           0.0056018,           0.0022196,           0.0056447,           0.0056447,            0.035345
                  32,            0.036098,           0.0099004,           0.0029416,              0.8476,             0.93686,             0.95187,             0.60834,            0.026446,           0.0057156,           0.0021173,           0.0057356,           0.0057356,            0.033236
                  33,            0.035099,            0.009762,           0.0028038,              0.8675,             0.92425,             0.88706,             0.52793,            0.028243,           0.0055258,           0.0023106,           0.0058196,           0.0058196,             0.03112
                  34,            0.032442,           0.0094071,            0.002836,             0.92196,             0.92876,             0.96967,             0.68954,             0.02271,           0.0053486,           0.0021419,           0.0058966,           0.0058966,            0.028997
                  35,            0.033198,           0.0091937,            0.002547,             0.92399,             0.93732,             0.96827,             0.64668,            0.025161,           0.0054671,           0.0021564,           0.0059665,           0.0059665,            0.026866
                  36,             0.03099,           0.0091941,           0.0025976,             0.94496,             0.93732,             0.96333,             0.67102,            0.022417,           0.0053122,           0.0020726,           0.0060292,           0.0060292,            0.024729
                  37,            0.030124,           0.0091955,           0.0026648,             0.99178,             0.93004,               0.964,             0.64841,            0.024305,           0.0054446,           0.0019889,           0.0060848,           0.0060848,            0.022585
                  38,            0.031805,           0.0091952,           0.0024971,             0.99892,             0.92223,             0.96816,             0.67785,            0.021451,           0.0053271,            0.001798,           0.0061332,           0.0061332,            0.020433
                  39,            0.029563,           0.0087496,           0.0024813,             0.99387,              0.9369,             0.96701,             0.65824,            0.023256,           0.0052502,           0.0017861,           0.0061744,           0.0061744,            0.018274
                  40,            0.029704,           0.0089082,           0.0022427,              0.9812,             0.94329,             0.98461,             0.65586,             0.02425,           0.0051829,           0.0018471,           0.0062084,           0.0062084,            0.016108
                  41,            0.029206,           0.0088359,           0.0021798,             0.99105,             0.94696,             0.97109,             0.65053,            0.023408,           0.0051754,           0.0018888,           0.0062353,           0.0062353,            0.013935
                  42,            0.027633,           0.0090434,           0.0022597,             0.96831,             0.92405,             0.94318,             0.65284,            0.021082,              0.0051,           0.0020508,           0.0062551,           0.0062551,            0.011755
                  43,            0.026894,           0.0082162,           0.0021372,             0.99256,             0.93233,              0.9743,             0.71091,            0.019167,           0.0049805,           0.0015368,           0.0062678,           0.0062678,           0.0095678
                  44,            0.025975,           0.0085359,           0.0019859,             0.95765,             0.92413,             0.94802,             0.67638,            0.019868,           0.0049719,           0.0017519,           0.0062734,           0.0062734,           0.0073734
                  45,            0.025519,           0.0084425,           0.0021804,             0.96854,             0.91345,             0.97041,             0.67312,            0.021038,           0.0050814,           0.0014981,            0.006204,            0.006204,            0.006204
                  46,            0.025725,           0.0085734,           0.0021644,              0.9914,             0.94656,             0.96901,             0.65664,            0.022545,           0.0049532,           0.0015845,            0.006204,            0.006204,            0.006204
                  47,            0.025335,           0.0085032,           0.0019986,             0.98175,             0.92797,             0.97256,              0.7152,            0.019212,           0.0047008,           0.0014357,            0.006064,            0.006064,            0.006064
                  48,            0.022899,           0.0079971,           0.0018931,             0.98134,             0.92717,             0.97581,             0.73161,            0.018559,           0.0047846,           0.0014246,           0.0059235,           0.0059235,           0.0059235
                  49,            0.023169,           0.0080705,           0.0018359,             0.99494,             0.88755,             0.92666,             0.68844,            0.020661,           0.0050915,           0.0017704,           0.0057826,           0.0057826,           0.0057826
                  50,            0.024801,           0.0078273,           0.0018359,             0.98515,             0.94476,             0.95266,             0.70904,            0.018335,           0.0047837,           0.0017863,           0.0056413,           0.0056413,           0.0056413
                  51,            0.023834,           0.0080281,           0.0016278,             0.99505,             0.92369,             0.95646,             0.70079,             0.01888,           0.0049195,           0.0015997,              0.0055,              0.0055,              0.0055
                  52,             0.02203,           0.0076379,           0.0016567,             0.99099,              0.9325,             0.95495,             0.70913,            0.018451,           0.0047318,           0.0015751,           0.0053587,           0.0053587,           0.0053587
                  53,            0.021217,           0.0075453,           0.0015978,             0.99021,             0.93493,             0.96279,             0.70363,            0.017705,           0.0045917,           0.0015033,           0.0052174,           0.0052174,           0.0052174
                  54,            0.020903,           0.0075465,           0.0017459,             0.97581,             0.93972,             0.96018,             0.72566,            0.018001,           0.0044775,           0.0014613,           0.0050765,           0.0050765,           0.0050765
                  55,            0.020153,           0.0078291,           0.0014991,             0.98584,             0.93858,             0.96824,             0.71587,             0.01717,           0.0045011,           0.0012674,            0.004936,            0.004936,            0.004936
                  56,            0.019675,            0.007539,           0.0016214,             0.95905,             0.94574,               0.959,             0.74808,            0.016728,            0.004477,           0.0013049,            0.004796,            0.004796,            0.004796
                  57,            0.019856,           0.0076606,           0.0014397,             0.97766,             0.95421,             0.96601,             0.77162,            0.017044,           0.0043114,           0.0012406,           0.0046568,           0.0046568,           0.0046568
                  58,            0.019192,           0.0072375,           0.0013644,             0.98871,             0.94163,             0.95959,             0.71119,            0.017443,           0.0043344,           0.0013683,           0.0045184,           0.0045184,           0.0045184
                  59,            0.018956,            0.007302,           0.0013987,             0.98709,             0.92598,             0.96668,             0.76499,            0.016146,            0.004203,           0.0013342,           0.0043809,           0.0043809,           0.0043809
                  60,            0.018077,           0.0073478,           0.0013674,             0.99023,             0.93772,             0.95908,             0.74795,            0.016444,           0.0043653,           0.0012942,           0.0042445,           0.0042445,           0.0042445
                  61,            0.018046,           0.0070221,           0.0013367,             0.99295,              0.9168,             0.95491,              0.7324,            0.016923,           0.0043518,           0.0011987,           0.0041094,           0.0041094,           0.0041094
                  62,            0.017217,           0.0064869,           0.0010995,             0.97764,             0.93417,             0.95743,             0.77259,            0.015973,           0.0041974,            0.001185,           0.0039757,           0.0039757,           0.0039757
                  63,            0.017507,           0.0068672,           0.0012045,             0.98872,              0.9538,             0.96007,              0.7576,            0.016083,           0.0040206,           0.0012061,           0.0038434,           0.0038434,           0.0038434
                  64,            0.017353,           0.0067814,           0.0011816,             0.99236,             0.93647,             0.96658,             0.76387,            0.016252,           0.0041607,           0.0011647,           0.0037128,           0.0037128,           0.0037128
                  65,            0.017344,           0.0067555,           0.0010504,             0.99974,             0.93924,             0.98126,             0.77705,            0.015666,           0.0040009,          0.00094299,            0.003584,            0.003584,            0.003584
                  66,            0.016327,            0.006685,           0.0010206,             0.99311,             0.92265,             0.95255,             0.76181,            0.014987,           0.0040426,            0.001003,            0.003457,            0.003457,            0.003457
                  67,            0.016192,           0.0063258,           0.0010139,             0.99151,             0.92411,             0.95494,             0.76484,              0.0156,           0.0041354,           0.0010215,           0.0033321,           0.0033321,           0.0033321
                  68,            0.016034,           0.0069252,           0.0010057,             0.97258,              0.9373,             0.95835,             0.77056,            0.015127,           0.0039734,          0.00086765,           0.0032093,           0.0032093,           0.0032093
                  69,            0.015093,           0.0062459,          0.00090542,             0.98272,             0.93728,             0.94877,             0.76056,            0.015597,           0.0040292,           0.0008682,           0.0030888,           0.0030888,           0.0030888
                  70,            0.015419,           0.0062294,          0.00085759,             0.98164,             0.96747,             0.98847,             0.77625,            0.015321,           0.0041823,          0.00071553,           0.0029706,           0.0029706,           0.0029706
                  71,             0.01512,           0.0067898,          0.00094398,             0.98658,             0.93732,             0.96137,             0.77716,            0.014796,           0.0039801,            0.001038,            0.002855,            0.002855,            0.002855
                  72,            0.014661,           0.0063503,          0.00098818,             0.97604,             0.95048,             0.97386,             0.76723,            0.014623,               0.004,           0.0010032,           0.0027419,           0.0027419,           0.0027419
                  73,             0.01465,           0.0062387,          0.00091773,              0.9886,             0.95555,             0.96956,             0.79324,            0.014417,            0.004004,          0.00095862,           0.0026316,           0.0026316,           0.0026316
                  74,            0.014405,           0.0060382,          0.00088648,             0.98646,              0.9443,              0.9693,             0.78247,            0.014334,           0.0040032,           0.0009091,           0.0025241,           0.0025241,           0.0025241
                  75,            0.013941,           0.0064849,          0.00073149,             0.98489,             0.93732,             0.96359,             0.76633,            0.014635,           0.0040473,          0.00096606,           0.0024195,           0.0024195,           0.0024195
                  76,            0.013428,            0.006212,          0.00072479,             0.99138,             0.93174,             0.96697,             0.78042,            0.014676,           0.0039384,          0.00090907,            0.002318,            0.002318,            0.002318
                  77,            0.013439,           0.0063015,          0.00063459,             0.99755,             0.94142,             0.99133,             0.80227,            0.014361,           0.0040251,          0.00072726,           0.0022196,           0.0022196,           0.0022196
                  78,             0.01357,           0.0060841,          0.00082369,               0.994,             0.94098,             0.98982,             0.78974,            0.014263,           0.0039716,          0.00063438,           0.0021245,           0.0021245,           0.0021245
                  79,            0.013185,           0.0059941,          0.00068699,             0.98836,             0.93735,              0.9676,             0.78322,            0.014269,           0.0039911,          0.00082878,           0.0020327,           0.0020327,           0.0020327
                  80,             0.01287,           0.0057126,          0.00064508,             0.97592,             0.92412,             0.95128,             0.78413,             0.01431,           0.0040178,          0.00087223,           0.0019443,           0.0019443,           0.0019443
                  81,            0.012295,           0.0054093,          0.00059422,              0.9906,             0.93732,             0.96689,             0.78815,            0.014248,            0.003904,          0.00089954,           0.0018594,           0.0018594,           0.0018594
                  82,            0.012638,           0.0057431,          0.00060076,             0.99564,             0.93732,             0.96709,             0.77752,            0.014325,           0.0038761,          0.00073876,           0.0017781,           0.0017781,           0.0017781
                  83,            0.012292,           0.0057105,          0.00062415,             0.98763,             0.93559,             0.99032,             0.81211,               0.014,           0.0038302,           0.0005389,           0.0017005,           0.0017005,           0.0017005
                  84,            0.012762,           0.0057841,          0.00064079,             0.99402,             0.94133,             0.99161,             0.79919,            0.013639,            0.003876,          0.00052011,           0.0016267,           0.0016267,           0.0016267
                  85,            0.012284,            0.005606,           0.0005629,             0.99028,             0.94343,             0.99118,             0.81408,            0.013625,           0.0039616,           0.0004979,           0.0015566,           0.0015566,           0.0015566
                  86,            0.012392,           0.0055952,          0.00061413,             0.98593,             0.93732,             0.98602,             0.80436,            0.013614,           0.0039772,          0.00051678,           0.0014905,           0.0014905,           0.0014905
                  87,             0.01205,           0.0056964,          0.00053241,             0.99044,             0.94291,             0.99161,             0.79968,            0.013468,           0.0039467,          0.00056242,           0.0014283,           0.0014283,           0.0014283
                  88,             0.01197,           0.0053604,          0.00049346,             0.98097,             0.93715,             0.98494,             0.79515,            0.013689,           0.0039404,          0.00056293,           0.0013701,           0.0013701,           0.0013701
                  89,            0.012151,           0.0056576,          0.00053692,              0.9869,             0.93732,             0.96821,             0.80484,            0.013559,           0.0038551,          0.00057032,            0.001316,            0.001316,            0.001316
                  90,            0.012182,           0.0054955,          0.00055993,             0.98904,             0.93732,             0.96742,             0.79172,            0.013647,           0.0038135,          0.00059795,            0.001266,            0.001266,            0.001266
                  91,            0.011589,           0.0056177,          0.00045193,             0.98937,             0.93736,             0.97311,             0.80559,            0.013545,           0.0038345,          0.00057918,           0.0012202,           0.0012202,           0.0012202
                  92,            0.011877,           0.0054467,          0.00044759,             0.99178,             0.93732,             0.97088,             0.80466,            0.013924,            0.003823,          0.00059346,           0.0011787,           0.0011787,           0.0011787
                  93,            0.011556,           0.0055839,          0.00043864,             0.98701,             0.93732,             0.96848,             0.79707,            0.013611,           0.0038125,          0.00058913,           0.0011414,           0.0011414,           0.0011414
                  94,            0.011832,            0.005847,          0.00045999,             0.98412,             0.93731,             0.96841,             0.80868,            0.013483,           0.0037843,            0.000518,           0.0011084,           0.0011084,           0.0011084
                  95,             0.01121,           0.0054057,          0.00041024,             0.98502,             0.93732,             0.96671,             0.79682,            0.013863,           0.0037678,           0.0006265,           0.0010797,           0.0010797,           0.0010797
                  96,            0.011194,           0.0053456,          0.00036496,             0.97737,             0.93727,             0.96636,               0.803,            0.013791,           0.0038432,          0.00066877,           0.0010554,           0.0010554,           0.0010554
                  97,             0.01148,           0.0053463,          0.00041822,             0.97547,             0.93724,             0.96772,             0.80976,            0.013593,            0.003774,          0.00063958,           0.0010355,           0.0010355,           0.0010355
                  98,            0.011433,           0.0054621,           0.0004853,             0.98076,             0.93732,             0.96482,             0.81042,            0.013432,            0.003713,          0.00065955,             0.00102,             0.00102,             0.00102
                  99,            0.011343,           0.0053183,          0.00047409,             0.98311,             0.93732,             0.96541,             0.80115,            0.013526,           0.0037483,          0.00068193,           0.0010089,           0.0010089,           0.0010089
